# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
2.960e+02  2.634e+03  6.228e+03  6.482e+02 -3.594e+03
2.970e+02  2.836e+03  5.963e+03  6.554e+02 -3.128e+03
2.980e+02  4.181e+03  5.704e+03  6.263e+02 -1.523e+03
2.990e+02  6.708e+03  5.449e+03  6.244e+02  1.258e+03
3.000e+02  6.811e+03  5.201e+03  6.320e+02  1.610e+03
3.010e+02  4.113e+03  4.959e+03  6.576e+02 -8.457e+02
3.020e+02  3.521e+03  4.723e+03  6.509e+02 -1.202e+03
3.030e+02  1.718e+03  4.493e+03  6.674e+02 -2.775e+03
3.040e+02  3.634e+03  4.271e+03  6.584e+02 -6.365e+02
3.050e+02  4.588e+03  4.055e+03  6.446e+02  5.339e+02
3.060e+02  5.013e+03  3.845e+03  6.293e+02  1.167e+03
3.070e+02  1.219e+03  3.643e+03  6.222e+02 -2.425e+03
3.080e+02  5.066e+03  3.448e+03  6.231e+02  1.618e+03
3.090e+02  3.566e+03  3.260e+03  6.261e+02  3.060e+02
3.100e+02  3.229e+03  3.079e+03  6.198e+02  1.506e+02
3.110e+02  2.351e+03  2.904e+03  6.127e+02 -5.531e+02
3.120e+02  5.588e+02  2.737e+03  6.033e+02 -2.178e+03
3.130e+02  1.068e+03  2.577e+03  6.173e+02 -1.509e+03
3.140e+02  3.591e+03  2.424e+03  6.105e+02  1.168e+03
3.150e+02  3.107e+03  2.277e+03  6.223e+02  8.301e+02
3.160e+02  4.348e+03  2.137e+03  6.177e+02  2.211e+03
3.170e+02  1.974e+03  2.003e+03  6.367e+02 -2.929e+01
3.180e+02  2.805e+03  1.876e+03  6.193e+02  9.292e+02
3.190e+02  2.258e+03  1.755e+03  6.264e+02  5.031e+02
3.200e+02  3.504e+03  1.640e+03  6.267e+02  1.864e+03
